"Artist","Track","Album","Track Number","Year"
"...Of Celestial","Purification","The Strange Infinity","1","2009"
"...Of Celestial","Slave of Emptiness","The Strange Infinity","2","2009"
"...Of Celestial","Viking's Song","The Strange Infinity","3","2009"
"...Of Celestial","Engrossed by Eternity","The Strange Infinity","4","2009"
"...Of Celestial","In Your Eyes","The Strange Infinity","5","2009"
"...Of Celestial","Minutes of Oblivion","The Strange Infinity","6","2009"
"...Of Celestial","Reconciliation With Destiny","The Strange Infinity","7","2009"
"...Of Celestial","It's Only Darkness and the Gloom","The Strange Infinity","8","2009"
"2nd Suicide","Epitaph For The Proud","Epitaph For The Proud","1","2008"
"2nd Suicide","Garden of Stone","Epitaph For The Proud","2","2008"
"2nd Suicide","The Drowning Sun","Promo 2007","1","2007"
"2nd Suicide","Last of Kin","Promo 2007","2","2007"
"2nd Suicide","Words","Promo 2007","3","2007"
"3 Inches Of Blood","Battles And Brotherhood","Here Waits Thy Doom","1","2009"
"3 Inches Of Blood","Rock In Hell","Here Waits Thy Doom","2","2009"
"3 Inches Of Blood","Silent Killer","Here Waits Thy Doom","3","2009"
"3 Inches Of Blood","Fierce Defender","Here Waits Thy Doom","4","2009"
"3 Inches Of Blood","Preacher's Daughter","Here Waits Thy Doom","5","2009"
"3 Inches Of Blood","Call Of the Hammer","Here Waits Thy Doom","6","2009"
"3 Inches Of Blood","Snake Lighter","Here Waits Thy Doom","7","2009"
"3 Inches Of Blood","At The Foot Of The Great Glacier","Here Waits Thy Doom","8","2009"
"3 Inches Of Blood","All Of Them Witches","Here Waits Thy Doom","9","2009"
"3 Inches Of Blood","12:34","Here Waits Thy Doom","10","2009"
"3 Inches Of Blood","Execution Tank","Here Waits Thy Doom","11","2009"
"36 Crazyfists","The All Night Lights","The Tide And Its Takers","1","2008"
"36 Crazyfists","We Gave It Hell","The Tide And Its Takers","2","2008"
"36 Crazyfists","The Back Harlow Road","The Tide And Its Takers","3","2008"
"36 Crazyfists","Clear The Coast","The Tide And Its Takers","4","2008"
"36 Crazyfists","Waiting On A War","The Tide And Its Takers","5","2008"
"36 Crazyfists","Only A Year Or So...","The Tide And Its Takers","6","2008"
"36 Crazyfists","Absent Are The Saints","The Tide And Its Takers","7","2008"
"36 Crazyfists","Vast And Vague","The Tide And Its Takers","8","2008"
"36 Crazyfists","When Distance Is The Closest Reminder","The Tide And Its Takers","9","2008"
"36 Crazyfists","Northern November","The Tide And Its Takers","10","2008"
"36 Crazyfists","The Tide And Its Takers","The Tide And Its Takers","11","2008"
"A Thousand Years Slavery","Epicurean","A Fury Named Spartan","1","2008"
"A Thousand Years Slavery","Drastic Oversleep","A Fury Named Spartan","2","2008"
"A Thousand Years Slavery","An Eternal Tree","A Fury Named Spartan","3","2008"
"A Thousand Years Slavery","Une Etoile Incandescente","A Fury Named Spartan","4","2008"
"A Thousand Years Slavery","A Fury Named Spartan","A Fury Named Spartan","5","2008"
"A Thousand Years Slavery","Betrayed Flavour","A Fury Named Spartan","6","2008"
"Abigail Williams","Hope The Great Betrayal","In The Absence Of Light","1","2010"
"Abigail Williams","Final Destiny Of The Gods","In The Absence Of Light","2","2010"
"Abigail Williams","The Mysteries That Bind The Flesh","In The Absence Of Light","3","2010"
"Abigail Williams","Infernal Divide","In The Absence Of Light","4","2010"
"Abigail Williams","In Death Comes The Great Silence","In The Absence Of Light","5","2010"
"Abigail Williams","What Hells Await Me","In The Absence Of Light","6","2010"
"Abigail Williams","An Echo In The Legends","In The Absence Of Light","7","2010"
"Abigail Williams","Malediction","In The Absence Of Light","8","2010"
"Abysmal Dawn","The Age Of Ruin","Leveling The Plane Of Existence","1","2011"
"Abysmal Dawn","Pixilated Ignorance","Leveling The Plane Of Existence","2","2011"
"Abysmal Dawn","In Service Of Time","Leveling The Plane Of Existence","3","2011"
"Abysmal Dawn","Rapture Renowned","Leveling The Plane Of Existence","4","2011"
"Abysmal Dawn","Our Primitive Nature","Leveling The Plane Of Existence","5","2011"
"Abysmal Dawn","Perpetual Dormancy","Leveling The Plane Of Existence","6","2011"
"Abysmal Dawn","Leveling The Plane Of Existence","Leveling The Plane Of Existence","7","2011"
"Abysmal Dawn","Manufactured Humanity","Leveling The Plane Of Existence","8","2011"
"Abysmal Dawn","My Own Savior","Leveling The Plane Of Existence","9","2011"
"Abysmal Dawn","The Sleeper Awakens","Leveling The Plane Of Existence","10","2011"
"Aeternam","Ars Almadel","Disciples of the Unseen","1","2010"
"Aeternam","Angel Horned","Disciples of the Unseen","2","2010"
"Aeternam","Esoteric Formulae","Disciples of the Unseen","3","2010"
"Aeternam","The Coronation of Seth","Disciples of the Unseen","4","2010"
"Aeternam","Hamunaptra","Disciples of the Unseen","5","2010"
"Aeternam","Iteru","Disciples of the Unseen","6","2010"
"Aeternam","Goddess of Masr","Disciples of the Unseen","7","2010"
"Aeternam","Ouroboros","Disciples of the Unseen","8","2010"
"Aeternam","Circle in Flames","Disciples of the Unseen","9","2010"
"Aeternam","Through the Eyes of Ea","Disciples of the Unseen","10","2010"
"aFREUDIANSLIP","Swear","The Accused","1","2008"
"aFREUDIANSLIP","The Escape","The Accused","2","2008"
"aFREUDIANSLIP","Clear The Memory","The Accused","3","2008"
"aFREUDIANSLIP","Improvidence","The Accused","4","2008"
"aFREUDIANSLIP","Little One (If You Care)","The Accused","5","2008"
"aFREUDIANSLIP","The Accused","The Accused","6","2008"
"aFREUDIANSLIP","Circle","The Accused","7","2008"
"aFREUDIANSLIP","Element Of","The Accused","8","2008"
"aFREUDIANSLIP","Through The Wake","The Accused","9","2008"
"aFREUDIANSLIP","Time Of Day","The Accused","10","2008"
"All Shall Perish","When Life Meant More...","Awaken The Dreamers","1","2008"
"All Shall Perish","Black Gold Reign","Awaken The Dreamers","2","2008"
"All Shall Perish","Never...Again","Awaken The Dreamers","3","2008"
"All Shall Perish","The Ones We Left Behind","Awaken The Dreamers","4","2008"
"All Shall Perish","Awaken The Dreamers","Awaken The Dreamers","5","2008"
"All Shall Perish","Memories Of A Glass Sanctuary","Awaken The Dreamers","6","2008"
"All Shall Perish","Stabbing To Purge Dissimulation","Awaken The Dreamers","7","2008"
"All Shall Perish","Gagged, Bound, Shelved And Forgotten","Awaken The Dreamers","8","2008"
"All Shall Perish","Until The End","Awaken The Dreamers","9","2008"
"All Shall Perish","From So Far Away","Awaken The Dreamers","10","2008"
"All Shall Perish","Misery's Introduction","Awaken The Dreamers","11","2008"
"All Shall Perish","Songs For The Damned","Awaken The Dreamers","12","2008"
"All That Remains","Before the damned","Overcome","1","2008"
"All That Remains","Two weeks","Overcome","2","2008"
"All That Remains","Undone","Overcome","3","2008"
"All That Remains","Forever in your hands","Overcome","4","2008"
"All That Remains","Chiron","Overcome","5","2008"
"All That Remains","Days without","Overcome","6","2008"
"All That Remains","A song for the hopeless","Overcome","7","2008"
"All That Remains","Do not obey","Overcome","8","2008"
"All That Remains","Relinquish","Overcome","9","2008"
"All That Remains","Overcome","Overcome","10","2008"
"All That Remains","Believe in nothing","Overcome","11","2008"
"All that Remains","This Calling","The Fall of Ideals","1","2006"
"All that Remains","Not Alone","The Fall of Ideals","2","2006"
"All that Remains","It Dwells on Me","The Fall of Ideals","3","2006"
"All that Remains","We Stand","The Fall of Ideals","4","2006"
"All that Remains","Whispers (I Hear You)","The Fall of Ideals","5","2006"
"All that Remains","The Weak Willed","The Fall of Ideals","6","2006"
"All that Remains","Six","The Fall of Ideals","7","2006"
"All that Remains","Become the Catalyst","The Fall of Ideals","8","2006"
"All that Remains","The Air that I Breathe","The Fall of Ideals","9","2006"
"All that Remains","Empty Inside","The Fall of Ideals","10","2006"
"All that Remains","Indictment","The Fall of Ideals","11","2006"
"Allegaeon","The Cleansing","Fragments Of Form And Function","1","2010"
"Allegaeon","The Renewal","Fragments Of Form And Function","2","2010"
"Allegaeon","Across The Folded Line","Fragments Of Form And Function","3","2010"
"Allegaeon","The God Particle","Fragments Of Form And Function","4","2010"
"Allegaeon","Biomech - Vals No. 666","Fragments Of Form And Function","5","2010"
"Allegaeon","From Seed To Throne","Fragments Of Form And Function","6","2010"
"Allegaeon","Atrophy Of Hippocrates","Fragments Of Form And Function","7","2010"
"Allegaeon","Point Of Disfigurement","Fragments Of Form And Function","8","2010"
"Allegaeon","A Cosmic Question...","Fragments Of Form And Function","9","2010"
"Allegaeon","Accelerated Evolution","Fragments Of Form And Function","10","2010"
"Amberian Dawn","Talisman","End of Eden","1","2010"
"Amberian Dawn","Come Now Follow","End of Eden","2","2010"
"Amberian Dawn","Arctica","End of Eden","3","2010"
"Amberian Dawn","Ghostly Echoes","End of Eden","4","2010"
"Amberian Dawn","Sampo","End of Eden","5","2010"
"Amberian Dawn","Blackbird","End of Eden","6","2010"
"Amberian Dawn","Field of Serpents","End of Eden","7","2010"
"Amberian Dawn","City of Corruption","End of Eden","8","2010"
"Amberian Dawn","Virvatulen Laulu","End of Eden","9","2010"
"Amberian Dawn","War in Heaven","End of Eden","10","2010"
"Amberian Dawn","He Sleeps in a Grove","The Clouds of Northland Thunder","1","2009"
"Amberian Dawn","Incubus","The Clouds of Northland Thunder","2","2009"
"Amberian Dawn","Kokko - Eagle of Fire","The Clouds of Northland Thunder","3","2009"
"Amberian Dawn","Willow of Tears","The Clouds of Northland Thunder","4","2009"
"Amberian Dawn","Shallow Waters","The Clouds of Northland Thunder","5","2009"
"Amberian Dawn","Lost Soul","The Clouds of Northland Thunder","6","2009"
"Amberian Dawn","Sons of Seven Stars","The Clouds of Northland Thunder","7","2009"
"Amberian Dawn","Saga","The Clouds of Northland Thunder","8","2009"
"Amberian Dawn","Snowmaiden","The Clouds of Northland Thunder","9","2009"
"Amberian Dawn","Lionheart","The Clouds of Northland Thunder","10","2009"
"Amberian Dawn","Morning Star","The Clouds of Northland Thunder","11","2009"
"Amberian Dawn","Birth of the Harp","The Clouds of Northland Thunder","12","2009"
"Amberian Dawn","Omen (Bonus)","The Clouds of Northland Thunder","13","2009"
"Amon Amarth","War of the Gods","Surtur Rising","1","2011"
"Amon Amarth","Tock's Taunt - Loke's Treachery Part II","Surtur Rising","2","2011"
"Amon Amarth","Destroyer of the Universe","Surtur Rising","3","2011"
"Amon Amarth","Slaves of Fear","Surtur Rising","4","2011"
"Amon Amarth","Live Without Regrets","Surtur Rising","5","2011"
"Amon Amarth","The Last Stand of Frej","Surtur Rising","6","2011"
"Amon Amarth","For Victory or Death","Surtur Rising","7","2011"
"Amon Amarth","Wrath of the Norsemen","Surtur Rising","8","2011"
"Amon Amarth","A Beast Am I","Surtur Rising","9","2011"
"Amon Amarth","Doom Over Dead Man","Surtur Rising","10","2011"
"Amon Amarth","Twilight Of The Thunder God","Twilight Of The Thunder God","1","2008"
"Amon Amarth","Free Will Sacrifice","Twilight Of The Thunder God","2","2008"
"Amon Amarth","Guardians Of Asgaard","Twilight Of The Thunder God","3","2008"
"Amon Amarth","Where Is Your God","Twilight Of The Thunder God","4","2008"
"Amon Amarth","Varyags Of Miklagaard","Twilight Of The Thunder God","5","2008"
"Amon Amarth","Tattered Banners And Bloody Flags","Twilight Of The Thunder God","6","2008"
"Amon Amarth","No Fear For Setting The Sun","Twilight Of The Thunder God","7","2008"
"Amon Amarth","The Hero","Twilight Of The Thunder God","8","2008"
"Amon Amarth","Live For The Kill","Twilight Of The Thunder God","9","2008"
"Amon Amarth","Embrace Of The Endless Ocean","Twilight Of The Thunder God","10","2008"
"Amoral","Leave Your Dead Behind","Reptile Ride","1","2007"
"Amoral","Nervasion","Reptile Ride","2","2007"
"Amoral","Hang me High","Reptile Ride","3","2007"
"Amoral","Mute","Reptile Ride","4","2007"
"Amoral","Few and far between","Reptile Ride","5","2007"
"Amoral","Snake Skin Saddle","Reptile Ride","6","2007"
"Amoral","D-Drop Bopo","Reptile Ride","7","2007"
"Amoral","Apocalyptic SCI-FI Fun","Reptile Ride","8","2007"
"Amoral","Pusher","Reptile Ride","9","2007"
"Amorphis","Shades Of Gray","Circle","1","2013"
"Amorphis","Mission","Circle","2","2013"
"Amorphis","The Wanderer","Circle","3","2013"
"Amorphis","Narrow Path","Circle","4","2013"
"Amorphis","Hopeless Days","Circle","5","2013"
"Amorphis","Nightbird's Song","Circle","6","2013"
"Amorphis","Into The Abyss","Circle","7","2013"
"Amorphis","Enchanted By The Moon","Circle","8","2013"
"Amorphis","A New Day","Circle","9","2013"
"Amorphis","Dead Man's Dream","Circle","10","2013"
"Amorphis","Magic And Mayhem","Magic & Mayhem","1","2010"
"Amorphis","Vulgar Necrolatry","Magic & Mayhem","2","2010"
"Amorphis","Into Hiding","Magic & Mayhem","3","2010"
"Amorphis","Black Winter Day","Magic & Mayhem","4","2010"
"Amorphis","On Rich And Poor","Magic & Mayhem","5","2010"
"Amorphis","Exile Of The Sons Of Uisliu","Magic & Mayhem","6","2010"
"Amorphis","The Castaway","Magic & Mayhem","7","2010"
"Amorphis","Song Of The Troubled One","Magic & Mayhem","8","2010"
"Amorphis","Sing From The Nort Side","Magic & Mayhem","9","2010"
"Amorphis","Drowned Maid","Magic & Mayhem","10","2010"
"Amorphis","Against Widows","Magic & Mayhem","11","2010"
"Amorphis","My Kantele","Magic & Mayhem","12","2010"
"Amorphis","Light My Fire (Bonus Track)","Magic & Mayhem","13","2010"
"Amorphis","Weaving the incantation","Silent Waters","1","2007"
"Amorphis","A servant","Silent Waters","2","2007"
"Amorphis","Silent waters","Silent Waters","3","2007"
"Amorphis","Towards and against","Silent Waters","4","2007"
"Amorphis","I of crimson blood","Silent Waters","5","2007"
"Amorphis","Her alone","Silent Waters","6","2007"
"Amorphis","Enigma","Silent Waters","7","2007"
"Amorphis","Shaman","Silent Waters","8","2007"
"Amorphis","The white swan","Silent Waters","9","2007"
"Amorphis","Black river","Silent Waters","10","2007"
"Amorphis","Silver Bride (Radio Edit)","Silver Bride","1","2009"
"Amorphis","Silver Bride (Album Version)","Silver Bride","2","2009"
"Amorphis","Separated","Silver Bride","3","2009"
"Amorphis","Sampo","Skyforger","1","2009"
"Amorphis","Silver Bride","Skyforger","2","2009"
"Amorphis","From The Heaven Of My Heart","Skyforger","3","2009"
"Amorphis","Sky Is Mine","Skyforger","4","2009"
"Amorphis","Majestic Beast","Skyforger","5","2009"
"Amorphis","My Sun","Skyforger","6","2009"
"Amorphis","Highest Star","Skyforger","7","2009"
"Amorphis","Skyforger","Skyforger","8","2009"
"Amorphis","Course Of Fate","Skyforger","9","2009"
"Amorphis","From Earth I Rose","Skyforger","10","2009"
"Amorphis","Battle For Light","The Beginning Of Times","1","2011"
"Amorphis","Mermaid","The Beginning Of Times","2","2011"
"Amorphis","My Enemy","The Beginning Of Times","3","2011"
"Amorphis","You I Need","The Beginning Of Times","4","2011"
"Amorphis","Song Of The Sage","The Beginning Of Times","5","2011"
"Amorphis","Three Words","The Beginning Of Times","6","2011"
"Amorphis","Reformation","The Beginning Of Times","7","2011"
"Amorphis","Soothsayer","The Beginning Of Times","8","2011"
"Amorphis","On A Stranded Shore","The Beginning Of Times","9","2011"
"Amorphis","Escape","The Beginning Of Times","10","2011"
"Amorphis","Crack In A Stone","The Beginning Of Times","11","2011"
"Amorphis","Beginning Of Time","The Beginning Of Times","12","2011"
"Amorphis","Heart's Song (Bonus Track)","The Beginning Of Times","13","2011"
"Angel of Disease","Hypercube","Hypercube","1","2009"
"Angel of Disease","When the Sun Goes Down","Hypercube","2","2009"
"Angel of Disease","Morbid","Hypercube","3","2009"
"Angel of Disease","Trust","Hypercube","4","2009"
"Angel of Disease","I Live without Sorrow","Hypercube","5","2009"
"Angel of Disease","In Memory of...","Hypercube","6","2009"
"Angel of Disease","Resurrection (Part 1)","Hypercube","7","2009"
"Angel of Disease","I am Tired","Hypercube","8","2009"
"Angel of Disease","Resurrection (Part 2)","Hypercube","9","2009"
"Angel of Disease","Anubis","Hypercube","10","2009"
"Angrepp","Intro","Warfare","1","2010"
"Angrepp","Five Horned Formation","Warfare","2","2010"
"Angrepp","Legions Arise","Warfare","3","2010"
"Angrepp","Dead And Destroyed","Warfare","4","2010"
"Angrepp","Warfare","Warfare","5","2010"
"Angrepp","Fiende","Warfare","6","2010"
"Angrepp","Rape Kill Rock'n'roll","Warfare","7","2010"
"Angrepp","Firebrand","Warfare","8","2010"
"Angrepp","For Now I Have Risen","Warfare","9","2010"
"Angrepp","Dictator","Warfare","10","2010"
"Animals As Leaders","Tempting Time","Animals As Leaders","1","2009"
"Animals As Leaders","Soraya","Animals As Leaders","2","2009"
"Animals As Leaders","Thoroughly At Home","Animals As Leaders","3","2009"
"Animals As Leaders","On Impulse","Animals As Leaders","4","2009"
"Animals As Leaders","Tessitura","Animals As Leaders","5","2009"
"Animals As Leaders","Behaving Badly","Animals As Leaders","6","2009"
"Animals As Leaders","The Price Of Everything And The Value Of Nothing","Animals As Leaders","7","2009"
"Animals As Leaders","CAFO","Animals As Leaders","8","2009"
"Animals As Leaders","Inamorata","Animals As Leaders","9","2009"
"Animals As Leaders","Point To Point","Animals As Leaders","10","2009"
"Animals As Leaders","Modern Meat","Animals As Leaders","11","2009"
"Animals As Leaders","Song Of Solomon","Animals As Leaders","12","2009"
"Animals As Leaders","An Infinte Regression","Weightless","1","2011"
"Animals As Leaders","Odessa","Weightless","2","2011"
"Animals As Leaders","Somnarium","Weightless","3","2011"
"Animals As Leaders","Earth Departure","Weightless","4","2011"
"Animals As Leaders","Isolated Incidents","Weightless","5","2011"
"Animals As Leaders","Do Not Go Gently","Weightless","6","2011"
"Animals As Leaders","New Eden","Weightless","7","2011"
"Animals As Leaders","Cylindrical Sea","Weightless","8","2011"
"Animals As Leaders","Espera","Weightless","9","2011"
"Animals As Leaders","To Lead You To An Overwhelming Question","Weightless","10","2011"
"Animals As Leaders","Weightless","Weightless","11","2011"
"Animals As Leaders","David","Weightless","12","2011"
"Annihilator","The Trend","Self Titled","1","2010"
"Annihilator","Coward","Self Titled","2","2010"
"Annihilator","Ambush","Self Titled","3","2010"
"Annihilator","Betrayed","Self Titled","4","2010"
"Annihilator","25 Seconds","Self Titled","5","2010"
"Annihilator","Nowhere To Go","Self Titled","6","2010"
"Annihilator","The Other Side","Self Titled","7","2010"
"Annihilator","Death In Your Eyes","Self Titled","8","2010"
"Annihilator","Payback","Self Titled","9","2010"
"Annihilator","Romeo Delight","Self Titled","10","2010"
"Another Perfect Day","For You...Forever","The Gothenburg Post Scriptum","1","2010"
"Another Perfect Day","The Matador","The Gothenburg Post Scriptum","2","2010"
"Another Perfect Day","The Ghost She Slept Beside Me","The Gothenburg Post Scriptum","3","2010"
"Another Perfect Day","Until You Bleed","The Gothenburg Post Scriptum","4","2010"
"Another Perfect Day","The Great Nothing","The Gothenburg Post Scriptum","5","2010"
"Another Perfect Day","In The End...The End","The Gothenburg Post Scriptum","6","2010"
"Another Perfect Day","The Lullaby (Come Step Closer)","The Gothenburg Post Scriptum","7","2010"
"Another Perfect Day","For Us...Forever","The Gothenburg Post Scriptum","8","2010"
"Another Perfect Day","Composition In Black","The Gothenburg Post Scriptum","9","2010"
"Anterior","Ghosts of dawn","This Age Of Silence","1","2007"
"Anterior","The silent divide","This Age Of Silence","2","2007"
"Anterior","Dead divine","This Age Of Silence","3","2007"
"Anterior","Days of deliverance","This Age Of Silence","4","2007"
"Anterior","Human hive","This Age Of Silence","5","2007"
"Anterior","Stir of echoes","This Age Of Silence","6","2007"
"Anterior","Scar city","This Age Of Silence","7","2007"
"Anterior","Seraph","This Age Of Silence","8","2007"
"Anterior","This age of silence","This Age Of Silence","9","2007"
"Arcana Imperia","Water and Sand","Better Than Now","1","2010"
"Arcana Imperia","Virus","Better Than Now","2","2010"
"Arcana Imperia","Through Times","Better Than Now","3","2010"
"Arcana Imperia","Friction","Better Than Now","4","2010"
"Arcana Imperia","By the Eyes of the Blind","Better Than Now","5","2010"
"Arcana Imperia","Perfection","Better Than Now","6","2010"
"Arcana Imperia","Moya Filosofiya","Better Than Now","7","2010"
"Arcana Imperia","The Last Second of Dullards' Votaries","Better Than Now","8","2010"
"Arcana Imperia","The Diary of Fate","Better Than Now","9","2010"
"Arcana Imperia","Entrails Fucking (Cadaveric Stench cover)","Better Than Now","10","2010"
"Arcana Imperia","untitled track","Better Than Now","11","2010"
"Arcanum Sanctum","One More Lie","Fidus Achates","1","2010"
"Arcanum Sanctum","Ghost of War","Fidus Achates","2","2010"
"Arcanum Sanctum","Shadowed","Fidus Achates","3","2010"
"Arcanum Sanctum","Fidus Achates","Fidus Achates","4","2010"
"Arcanum Sanctum","Moment of Death","Fidus Achates","5","2010"
"Arcanum Sanctum","The Way to No Man's Land","Fidus Achates","6","2010"
"Arcanum Sanctum","Dreamkeeper","Fidus Achates","7","2010"
"Arcanum Sanctum","Outroduction","Fidus Achates","8","2010"
"Arch Enemy","Dead Eyes See No Future","Dead Eyes See No Future","1","2004"
"Arch Enemy","Burning Angel (live)","Dead Eyes See No Future","2","2004"
"Arch Enemy","We Will Rise (live)","Dead Eyes See No Future","3","2004"
"Arch Enemy","Heart of Darkness (live)","Dead Eyes See No Future","4","2004"
"Arch Enemy","Symphony of Destruction","Dead Eyes See No Future","5","2004"
"Arch Enemy","Kill With Power","Dead Eyes See No Future","6","2004"
"Arch Enemy","Incarnated Solvent Abuse","Dead Eyes See No Future","7","2004"
"Arch Enemy","Enter The Machine","Doomsday Machine","1","2005"
"Arch Enemy","Taking Back My Soul","Doomsday Machine","2","2005"
"Arch Enemy","Nemesis","Doomsday Machine","3","2005"
"Arch Enemy","My Apocalypse","Doomsday Machine","4","2005"
"Arch Enemy","Carry The Cross","Doomsday Machine","5","2005"
"Arch Enemy","I Am Legend / Out For Blood","Doomsday Machine","6","2005"
"Arch Enemy","Skeleton Dance","Doomsday Machine","7","2005"
"Arch Enemy","Hybrids Of Steel","Doomsday Machine","8","2005"
"Arch Enemy","Mechanic God Creation","Doomsday Machine","9","2005"
"Arch Enemy","Machtkampf","Doomsday Machine","10","2005"
"Arch Enemy","Slaves Of Yesterday","Doomsday Machine","11","2005"
"Arch Enemy","Blood on Your Hands","Rise of the Tyrant","1","2007"
"Arch Enemy","The Last Enemy","Rise of the Tyrant","2","2007"
"Arch Enemy","I Will Live Again","Rise of the Tyrant","3","2007"
"Arch Enemy","In this Shallow Grave","Rise of the Tyrant","4","2007"
"Arch Enemy","Revolution Begins","Rise of the Tyrant","5","2007"
"Arch Enemy","Rise of the Tyrant","Rise of the Tyrant","6","2007"
"Arch Enemy","The Day You Died","Rise of the Tyrant","7","2007"
"Arch Enemy","Intermezzo Liberte","Rise of the Tyrant","8","2007"
"Arch Enemy","Night Falls Fast","Rise of the Tyrant","9","2007"
"Arch Enemy","The Great Darkness","Rise of the Tyrant","10","2007"
"Arch Enemy","Ultures","Rise of the Tyrant","11","2007"
"Architects","Early Grave","Hollow Crown","1","2009"
"Architects","Dethroned","Hollow Crown","2","2009"
"Architects","Numbers Count For Nothing","Hollow Crown","3","2009"
"Architects","Follow The Water","Hollow Crown","4","2009"
"Architects","In Elegance","Hollow Crown","5","2009"
"Architects","We're All Alone","Hollow Crown","6","2009"
"Architects","Borrowed Time","Hollow Crown","7","2009"
"Architects","Every Last Breath","Hollow Crown","8","2009"
"Architects","One Of These Days","Hollow Crown","9","2009"
"Architects","Dead March","Hollow Crown","10","2009"
"Architects","Left With A Last Minute","Hollow Crown","11","2009"
"Architects","Hollow Crown","Hollow Crown","12","2009"
"Archons","Intro","The Consequences Of Silence","1","2008"
"Archons","The Enigma Of Torments","The Consequences Of Silence","2","2008"
"Archons","Of Pride And Prejudice","The Consequences Of Silence","3","2008"
"Archons","Obsolete Life Form","The Consequences Of Silence","4","2008"
"Archons","Plague Of Corruption","The Consequences Of Silence","5","2008"
"Archons","Wandering The Burning Land","The Consequences Of Silence","6","2008"
"Archons","Pulverizing Inner Thoughts","The Consequences Of Silence","7","2008"
"Archons","The Fall Of A Dreamer","The Consequences Of Silence","8","2008"
"Archons","Beyond Anger","The Consequences Of Silence","9","2008"
"Archons","Delusional Beliefs","The Consequences Of Silence","10","2008"
"Arise","Adrenaline Rush","The Reckoning","1","2009"
"Arise","No Memory Of Light","The Reckoning","2","2009"
"Arise","Blindead","The Reckoning","3","2009"
"Arise","They Are Coming For You","The Reckoning","4","2009"
"Arise","Pitch Black","The Reckoning","5","2009"
"Arise","The Reckoning","The Reckoning","6","2009"
"Arise","Reclaiming The Soul","The Reckoning","7","2009"
"Arise","The Fury","The Reckoning","8","2009"
"Arise","Dead Silence","The Reckoning","9","2009"
"Arise","End Of Days","The Reckoning","10","2009"
"Arkaea","Locust","Years in the Darkness","1","2009"
"Arkaea","Beneath the Shades of Grey","Years in the Darkness","2","2009"
"Arkaea","Years in the Darkness","Years in the Darkness","3","2009"
"Arkaea","Gone Tomorrow","Years in the Darkness","4","2009"
"Arkaea","Awakening","Years in the Darkness","5","2009"
"Arkaea","Black Ocean","Years in the Darkness","6","2009"
"Arkaea","Break the Silence","Years in the Darkness","7","2009"
"Arkaea","Lucid Dream","Years in the Darkness","8","2009"
"Arkaea","My Redemption","Years in the Darkness","9","2009"
"Arkaea","War Within","Years in the Darkness","10","2009"
"Arkaea","The World as One","Years in the Darkness","11","2009"
"Arkaea","Rise Today","Years in the Darkness","12","2009"
"Arkaea","Away form the Sun","Years in the Darkness","13","2009"
"Arma Gathas","Antagonist","Dead To This World","1","2010"
"Arma Gathas","The Rise And Fall","Dead To This World","2","2010"
"Arma Gathas","Losing Hope","Dead To This World","3","2010"
"Arma Gathas","The Lies Of Man","Dead To This World","4","2010"
"Arma Gathas","The Damage Done","Dead To This World","5","2010"
"Arma Gathas","Liberate Me","Dead To This World","6","2010"
"Arma Gathas","Depopulation","Dead To This World","7","2010"
"Arma Gathas","New Saviour","Dead To This World","8","2010"
"Arma Gathas","Generation Doom","Dead To This World","9","2010"
"Arma Gathas","Protagonist","Dead To This World","10","2010"
"Arma Gathas","God's Wrath","Dead To This World","11","2010"
"Arma Gathas","Constant Hunt For Blood","Dead To This World","12","2010"
"Arma Gathas","Our Final Breath - Our Last Goodbye","Dead To This World","13","2010"
"Arsis","Forced To Rock","Starve For The Devil","1","2010"
"Arsis","A Pound Of Flesh (For The Hell Of It)","Starve For The Devil","1","2010"
"Arsis","A March For The Sick","Starve For The Devil","2","2010"
"Arsis","From Soulless To Shattered (Art In Dying)","Starve For The Devil","3","2010"
"Arsis","Beyond Forlorn","Starve For The Devil","4","2010"
"Arsis","The Ten Of Swords","Starve For The Devil","5","2010"
"Arsis","Closer To Cold","Starve For The Devil","6","2010"
"Arsis","Sick Perfection","Starve For The Devil","7","2010"
"Arsis","Half Past Corpse O'Clock","Starve For The Devil","8","2010"
"Arsis","Escape Artist","Starve For The Devil","9","2010"
"Arsis","Sable Rising","Starve For The Devil","10","2010"
"Arsis","We Are The Nightmare","We Are The Nightmare","1","2008"
"Arsis","Shattering The Spell","We Are The Nightmare","2","2008"
"Arsis","Sightless Wisdom","We Are The Nightmare","3","2008"
"Arsis","Servants To The Night","We Are The Nightmare","4","2008"
"Arsis","Failing Winds Of Hopeless Greed","We Are The Nightmare","5","2008"
"Arsis","Overthrown","We Are The Nightmare","6","2008"
"Arsis","Progressive Entrapment","We Are The Nightmare","7","2008"
"Arsis","A Feast For The Liar´s Tongue","We Are The Nightmare","8","2008"
"Arsis","My Oath To Madness","We Are The Nightmare","9","2008"
"Arsis","Failure´s Conquest","We Are The Nightmare","10","2008"
"Artas","A Journey Begins...","Riotology","1","2011"
"Artas","Fortress Of No Hope","Riotology","2","2011"
"Artas","The Day The Books Will Burn Again","Riotology","3","2011"
"Artas","The Suffering Of John Doe","Riotology","4","2011"
"Artas","Rassenhass","Riotology","5","2011"
"Artas","O5","Riotology","6","2011"
"Artas","No Pasaran!","Riotology","7","2011"
